QI	Percentage	PercentageII
HV	0.714285714285714	71.4285714285714
EP	0.714285714285714	71.4285714285714
GS	0.714285714285714	71.4285714285714
IGD	0.571428571428571	57.1428571428571
PFS	0.428571428571429	42.8571428571429
GD	0.142857142857143	14.2857142857143
ED	0.142857142857143	14.2857142857143
C	0	0
