Algo	QI	id	Counter	Percentage	PercentageII
SPEA2	PFS	1	52	0.412698412698413	41.2698412698413
SPEA2	GD	2	51	0.404761904761905	40.4761904761905
SPEA2	EP	3	43	0.341269841269841	34.1269841269841
SPEA2	HV	4	37	0.293650793650794	29.3650793650794
SPEA2	IGD	5	33	0.261904761904762	26.1904761904762
SPEA2	ED	6	28	0.222222222222222	22.2222222222222
SPEA2	GS	7	19	0.150793650793651	15.0793650793651
SPEA2	C	8	14	0.111111111111111	11.1111111111111
