Algo	QI	id	Counter	Percentage	PercentageII
NSGA-II	EP	1	53	0.420634920634921	42.0634920634921
NSGA-II	GD	2	52	0.412698412698413	41.2698412698413
NSGA-II	IGD	3	49	0.388888888888889	38.8888888888889
NSGA-II	PFS	4	48	0.380952380952381	38.0952380952381
NSGA-II	HV	5	42	0.333333333333333	33.3333333333333
NSGA-II	GS	6	32	0.253968253968254	25.3968253968254
NSGA-II	ED	7	29	0.23015873015873	23.015873015873
NSGA-II	C	8	3	0.0238095238095238	2.38095238095238
