NameOfProblem	QI	Algo	Counter	Percentage	PercentageII
NRL	IGD	MOCell	1	0.333333333333333	33.3333333333333
NRL	IGD	NSGA-II	2	0.666666666666667	66.6666666666667
NRL	IGD	PAES	3	1	100
NRL	IGD	SPEA2	0	0	0
NRL	EP	MOCell	1	0.333333333333333	33.3333333333333
NRL	EP	NSGA-II	1	0.333333333333333	33.3333333333333
NRL	EP	PAES	3	1	100
NRL	EP	SPEA2	0	0	0
NRL	GD	MOCell	3	1	100
NRL	GD	NSGA-II	1	0.333333333333333	33.3333333333333
NRL	GD	PAES	2	0.666666666666667	66.6666666666667
NRL	GD	SPEA2	0	0	0
NRL	GS	MOCell	1	0.333333333333333	33.3333333333333
NRL	GS	NSGA-II	2	0.666666666666667	66.6666666666667
NRL	GS	PAES	3	1	100
NRL	GS	SPEA2	0	0	0
NRL	ED	MOCell	0	0	0
NRL	ED	NSGA-II	0	0	0
NRL	ED	PAES	2	0.666666666666667	66.6666666666667
NRL	ED	SPEA2	0	0	0
NRL	PFS	MOCell	0	0	0
NRL	PFS	NSGA-II	1	0.333333333333333	33.3333333333333
NRL	PFS	PAES	1	0.333333333333333	33.3333333333333
NRL	PFS	SPEA2	1	0.333333333333333	33.3333333333333
NRL	C	MOCell	0	0	0
NRL	C	NSGA-II	0	0	0
NRL	C	PAES	0	0	0
NRL	C	SPEA2	0	0	0
