Algo	QI1	QI2	Preferred
SMPSO	GD	ED	GD
SMPSO	GD	PFS	GD
SMPSO	GD	C	GD
SMPSO	GS	HV	GS
SMPSO	GS	IGD	GS
SMPSO	GS	EP	GS
SMPSO	GS	GD	GS
SMPSO	GS	ED	GS
SMPSO	GS	PFS	GS
SMPSO	GS	C	GS
SMPSO	ED	HV	ED
SMPSO	ED	IGD	ED
SMPSO	ED	EP	ED
SMPSO	ED	GD	ED
SMPSO	ED	PFS	ED
SMPSO	ED	C	ED
SMPSO	PFS	HV	PFS
SMPSO	PFS	IGD	PFS
SMPSO	PFS	EP	PFS
SMPSO	PFS	GD	PFS
SMPSO	PFS	ED	PFS
SMPSO	PFS	C	PFS
SMPSO	C	PFS	C
SPEA2	HV	IGD	HV
SPEA2	HV	EP	HV
SPEA2	HV	GD	HV
SPEA2	HV	GS	HV
SPEA2	HV	ED	HV
SPEA2	HV	PFS	HV
SPEA2	HV	C	HV
SPEA2	IGD	HV	IGD
SPEA2	IGD	EP	IGD
SPEA2	IGD	GD	IGD
SPEA2	IGD	GS	IGD
SPEA2	IGD	ED	IGD
SPEA2	IGD	PFS	IGD
SPEA2	IGD	C	IGD
SPEA2	EP	HV	EP
SPEA2	EP	IGD	EP
SPEA2	EP	GD	EP
SPEA2	EP	GS	EP
SPEA2	EP	ED	EP
SPEA2	EP	PFS	EP
SPEA2	EP	C	EP
SPEA2	GD	HV	GD
SPEA2	GD	IGD	GD
SPEA2	GD	EP	GD
SPEA2	GD	GS	GD
SPEA2	GD	ED	GD
SPEA2	GD	PFS	GD
SPEA2	GD	C	GD
SPEA2	GS	HV	GS
SPEA2	GS	IGD	GS
SPEA2	GS	EP	GS
SPEA2	GS	GD	GS
SPEA2	GS	ED	GS
SPEA2	GS	C	GS
SPEA2	ED	HV	ED
SPEA2	ED	IGD	ED
SPEA2	ED	EP	ED
SPEA2	ED	GD	ED
SPEA2	ED	GS	ED
SPEA2	ED	PFS	ED
SPEA2	ED	C	ED
SPEA2	PFS	HV	PFS
SPEA2	PFS	IGD	PFS
SPEA2	PFS	EP	PFS
SPEA2	PFS	GD	PFS
SPEA2	PFS	GS	PFS
SPEA2	PFS	ED	PFS
SPEA2	PFS	C	PFS
SPEA2	C	GS	C
SPEA2	C	ED	C
