Algo	QI1	QI2	Preferred
SPEA2	IGD	GD	IGD
SPEA2	IGD	GS	IGD
SPEA2	IGD	ED	IGD
SPEA2	IGD	PFS	IGD
SPEA2	EP	HV	EP
SPEA2	EP	IGD	EP
SPEA2	EP	GD	EP
SPEA2	EP	GS	EP
SPEA2	EP	ED	EP
SPEA2	EP	PFS	EP
SPEA2	GD	HV	GD
SPEA2	GD	IGD	GD
SPEA2	GD	EP	GD
SPEA2	GD	GS	GD
SPEA2	GD	ED	GD
SPEA2	GD	PFS	GD
SPEA2	GS	HV	GS
SPEA2	GS	IGD	GS
SPEA2	GS	EP	GS
SPEA2	GS	GD	GS
SPEA2	GS	ED	GS
SPEA2	GS	C	GS
SPEA2	ED	HV	ED
SPEA2	ED	IGD	ED
SPEA2	ED	EP	ED
SPEA2	ED	GD	ED
SPEA2	ED	GS	ED
SPEA2	ED	PFS	ED
SPEA2	ED	C	ED
SPEA2	PFS	HV	PFS
SPEA2	PFS	IGD	PFS
SPEA2	PFS	EP	PFS
SPEA2	PFS	GD	PFS
SPEA2	PFS	ED	PFS
SPEA2	C	GS	C
SPEA2	C	ED	C
