Problem	Algo	QI	QI1	QI2
TS	NSGA-II	ND	HV	EP
TS	PAES	ND	HV	EP
TS	SMPSO	EP	HV	EP
TS	SPEA2	ND	HV	EP
TS	CellDE	ND	HV	GD
TS	MOCell	GD	HV	GD
TS	NSGA-II	HV	HV	GD
TS	PAES	ND	HV	GD
TS	SMPSO	ND	HV	GD
TS	SPEA2	GD	HV	GD
TS	CellDE	GS	HV	GS
TS	MOCell	HV	HV	GS
TS	NSGA-II	HV	HV	GS
TS	PAES	ND	HV	GS
TS	SMPSO	GS	HV	GS
TS	SPEA2	GS	HV	GS
TS	CellDE	ND	HV	ED
TS	MOCell	ED	HV	ED
TS	NSGA-II	HV	HV	ED
TS	PAES	ND	HV	ED
TS	SMPSO	ND	HV	ED
TS	SPEA2	ED	HV	ED
TS	CellDE	ND	HV	PFS
TS	MOCell	HV	HV	PFS
TS	NSGA-II	HV	HV	PFS
TS	PAES	PFS	HV	PFS
TS	SMPSO	HV	HV	PFS
TS	SPEA2	ND	HV	PFS
TS	CellDE	HV	HV	C
TS	MOCell	HV	HV	C
TS	NSGA-II	HV	HV	C
TS	PAES	ND	HV	C
TS	SMPSO	HV	HV	C
TS	SPEA2	HV	HV	C
TS	CellDE	EP	IGD	EP
TS	MOCell	IGD	IGD	EP
TS	NSGA-II	EP	IGD	EP
TS	PAES	ND	IGD	EP
TS	SMPSO	EP	IGD	EP
TS	SPEA2	IGD	IGD	EP
TS	CellDE	ND	IGD	GD
TS	MOCell	ND	IGD	GD
TS	NSGA-II	ND	IGD	GD
TS	PAES	ND	IGD	GD
TS	SMPSO	ND	IGD	GD
TS	SPEA2	ND	IGD	GD
TS	CellDE	GS	IGD	GS
TS	MOCell	IGD	IGD	GS
TS	NSGA-II	IGD	IGD	GS
TS	PAES	ND	IGD	GS
TS	SMPSO	GS	IGD	GS
TS	SPEA2	ND	IGD	GS
TS	CellDE	ND	IGD	ED
TS	MOCell	ND	IGD	ED
TS	NSGA-II	ND	IGD	ED
TS	PAES	ND	IGD	ED
TS	SMPSO	ND	IGD	ED
TS	SPEA2	ND	IGD	ED
TS	CellDE	ND	IGD	PFS
TS	MOCell	IGD	IGD	PFS
TS	NSGA-II	IGD	IGD	PFS
TS	PAES	PFS	IGD	PFS
TS	SMPSO	IGD	IGD	PFS
TS	SPEA2	IGD	IGD	PFS
TS	CellDE	IGD	IGD	C
TS	MOCell	IGD	IGD	C
TS	NSGA-II	IGD	IGD	C
TS	PAES	ND	IGD	C
TS	SMPSO	IGD	IGD	C
TS	SPEA2	IGD	IGD	C
TS	CellDE	EP	EP	GD
TS	MOCell	GD	EP	GD
TS	NSGA-II	EP	EP	GD
TS	PAES	ND	EP	GD
TS	SMPSO	EP	EP	GD
TS	SPEA2	GD	EP	GD
TS	CellDE	GS	EP	GS
TS	MOCell	ND	EP	GS
TS	NSGA-II	EP	EP	GS
TS	PAES	ND	EP	GS
TS	SMPSO	EP	EP	GS
TS	SPEA2	GS	EP	GS
TS	CellDE	EP	EP	ED
TS	MOCell	ED	EP	ED
TS	NSGA-II	EP	EP	ED
TS	PAES	ND	EP	ED
TS	SMPSO	EP	EP	ED
TS	SPEA2	ED	EP	ED
TS	CellDE	EP	EP	PFS
TS	MOCell	ND	EP	PFS
TS	NSGA-II	EP	EP	PFS
TS	PAES	PFS	EP	PFS
TS	SMPSO	EP	EP	PFS
TS	SPEA2	ND	EP	PFS
TS	CellDE	EP	EP	C
TS	MOCell	EP	EP	C
TS	NSGA-II	EP	EP	C
TS	PAES	ND	EP	C
TS	SMPSO	EP	EP	C
TS	SPEA2	EP	EP	C
TS	CellDE	GS	GD	GS
TS	MOCell	GD	GD	GS
TS	NSGA-II	GD	GD	GS
TS	PAES	ND	GD	GS
TS	SMPSO	GS	GD	GS
TS	SPEA2	ND	GD	GS
TS	CellDE	ND	GD	ED
TS	MOCell	ND	GD	ED
TS	NSGA-II	ND	GD	ED
TS	PAES	ND	GD	ED
TS	SMPSO	ND	GD	ED
TS	SPEA2	ND	GD	ED
TS	CellDE	ND	GD	PFS
TS	MOCell	GD	GD	PFS
TS	NSGA-II	GD	GD	PFS
TS	PAES	PFS	GD	PFS
TS	SMPSO	GD	GD	PFS
TS	SPEA2	GD	GD	PFS
TS	CellDE	GD	GD	C
TS	MOCell	GD	GD	C
TS	NSGA-II	GD	GD	C
TS	PAES	ND	GD	C
TS	SMPSO	GD	GD	C
TS	SPEA2	GD	GD	C
TS	CellDE	GS	GS	ED
TS	MOCell	ED	GS	ED
TS	NSGA-II	ED	GS	ED
TS	PAES	ND	GS	ED
TS	SMPSO	GS	GS	ED
TS	SPEA2	ND	GS	ED
TS	CellDE	GS	GS	PFS
TS	MOCell	ND	GS	PFS
TS	NSGA-II	PFS	GS	PFS
TS	PAES	PFS	GS	PFS
TS	SMPSO	GS	GS	PFS
TS	SPEA2	GS	GS	PFS
TS	CellDE	GS	GS	C
TS	MOCell	GS	GS	C
TS	NSGA-II	ND	GS	C
TS	PAES	ND	GS	C
TS	SMPSO	GS	GS	C
TS	SPEA2	GS	GS	C
TS	CellDE	ND	ED	PFS
TS	MOCell	ED	ED	PFS
TS	NSGA-II	ED	ED	PFS
TS	PAES	PFS	ED	PFS
TS	SMPSO	ED	ED	PFS
TS	SPEA2	ED	ED	PFS
TS	CellDE	ED	ED	C
TS	MOCell	ED	ED	C
TS	NSGA-II	ED	ED	C
TS	PAES	ND	ED	C
TS	SMPSO	ED	ED	C
TS	SPEA2	ED	ED	C
TS	CellDE	PFS	PFS	C
TS	MOCell	PFS	PFS	C
TS	NSGA-II	PFS	PFS	C
TS	PAES	PFS	PFS	C
TS	SMPSO	ND	PFS	C
TS	SPEA2	PFS	PFS	C
TRA	CellDE	ND	HV	IGD
TRA	MOCell	ND	HV	IGD
TRA	NSGA-II	HV	HV	IGD
TRA	PAES	IGD	HV	IGD
TRA	SMPSO	ND	HV	IGD
TRA	SPEA2	ND	HV	IGD
TRA	CellDE	ND	HV	EP
TRA	MOCell	ND	HV	EP
TRA	NSGA-II	ND	HV	EP
TRA	PAES	ND	HV	EP
TRA	SMPSO	ND	HV	EP
TRA	SPEA2	ND	HV	EP
TRA	CellDE	GD	HV	GD
TRA	MOCell	GD	HV	GD
TRA	NSGA-II	GD	HV	GD
TRA	PAES	GD	HV	GD
TRA	SMPSO	HV	HV	GD
TRA	SPEA2	HV	HV	GD
TRA	CellDE	GS	HV	GS
TRA	MOCell	GS	HV	GS
TRA	NSGA-II	HV	HV	GS
TRA	PAES	GS	HV	GS
TRA	SMPSO	HV	HV	GS
TRA	SPEA2	ND	HV	GS
TRA	CellDE	ED	HV	ED
TRA	MOCell	ND	HV	ED
TRA	NSGA-II	HV	HV	ED
TRA	PAES	ED	HV	ED
TRA	SMPSO	HV	HV	ED
TRA	SPEA2	ND	HV	ED
TRA	CellDE	HV	HV	PFS
TRA	MOCell	PFS	HV	PFS
TRA	NSGA-II	ND	HV	PFS
TRA	PAES	ND	HV	PFS
TRA	SMPSO	HV	HV	PFS
TRA	SPEA2	HV	HV	PFS
TRA	CellDE	HV	HV	C
TRA	MOCell	C	HV	C
TRA	NSGA-II	HV	HV	C
TRA	PAES	ND	HV	C
TRA	SMPSO	ND	HV	C
TRA	SPEA2	C	HV	C
TRA	CellDE	ND	IGD	EP
TRA	MOCell	ND	IGD	EP
TRA	NSGA-II	EP	IGD	EP
TRA	PAES	IGD	IGD	EP
TRA	SMPSO	ND	IGD	EP
TRA	SPEA2	ND	IGD	EP
TRA	CellDE	GD	IGD	GD
TRA	MOCell	GD	IGD	GD
TRA	NSGA-II	GD	IGD	GD
TRA	PAES	ND	IGD	GD
TRA	SMPSO	IGD	IGD	GD
TRA	SPEA2	IGD	IGD	GD
TRA	CellDE	GS	IGD	GS
TRA	MOCell	GS	IGD	GS
TRA	NSGA-II	IGD	IGD	GS
TRA	PAES	GS	IGD	GS
TRA	SMPSO	IGD	IGD	GS
TRA	SPEA2	ND	IGD	GS
TRA	CellDE	ED	IGD	ED
TRA	MOCell	ND	IGD	ED
TRA	NSGA-II	ND	IGD	ED
TRA	PAES	ND	IGD	ED
TRA	SMPSO	IGD	IGD	ED
TRA	SPEA2	ND	IGD	ED
TRA	CellDE	IGD	IGD	PFS
TRA	MOCell	PFS	IGD	PFS
TRA	NSGA-II	PFS	IGD	PFS
TRA	PAES	IGD	IGD	PFS
TRA	SMPSO	IGD	IGD	PFS
TRA	SPEA2	IGD	IGD	PFS
TRA	CellDE	IGD	IGD	C
TRA	MOCell	C	IGD	C
TRA	NSGA-II	ND	IGD	C
TRA	PAES	IGD	IGD	C
TRA	SMPSO	ND	IGD	C
TRA	SPEA2	C	IGD	C
TRA	CellDE	GD	EP	GD
TRA	MOCell	GD	EP	GD
TRA	NSGA-II	GD	EP	GD
TRA	PAES	GD	EP	GD
TRA	SMPSO	EP	EP	GD
TRA	SPEA2	EP	EP	GD
TRA	CellDE	GS	EP	GS
TRA	MOCell	GS	EP	GS
TRA	NSGA-II	EP	EP	GS
TRA	PAES	GS	EP	GS
TRA	SMPSO	EP	EP	GS
TRA	SPEA2	ND	EP	GS
TRA	CellDE	ED	EP	ED
TRA	MOCell	ND	EP	ED
TRA	NSGA-II	EP	EP	ED
TRA	PAES	ED	EP	ED
TRA	SMPSO	EP	EP	ED
TRA	SPEA2	ND	EP	ED
TRA	CellDE	EP	EP	PFS
TRA	MOCell	PFS	EP	PFS
TRA	NSGA-II	ND	EP	PFS
TRA	PAES	ND	EP	PFS
TRA	SMPSO	EP	EP	PFS
TRA	SPEA2	EP	EP	PFS
TRA	CellDE	EP	EP	C
TRA	MOCell	C	EP	C
TRA	NSGA-II	EP	EP	C
TRA	PAES	ND	EP	C
TRA	SMPSO	ND	EP	C
TRA	SPEA2	C	EP	C
TRA	CellDE	ND	GD	GS
TRA	MOCell	GD	GD	GS
TRA	NSGA-II	GD	GD	GS
TRA	PAES	GS	GD	GS
TRA	SMPSO	ND	GD	GS
TRA	SPEA2	GS	GD	GS
TRA	CellDE	ND	GD	ED
TRA	MOCell	GD	GD	ED
TRA	NSGA-II	GD	GD	ED
TRA	PAES	ND	GD	ED
TRA	SMPSO	ND	GD	ED
TRA	SPEA2	ED	GD	ED
TRA	CellDE	GD	GD	PFS
TRA	MOCell	GD	GD	PFS
TRA	NSGA-II	GD	GD	PFS
TRA	PAES	GD	GD	PFS
TRA	SMPSO	GD	GD	PFS
TRA	SPEA2	PFS	GD	PFS
TRA	CellDE	GD	GD	C
TRA	MOCell	GD	GD	C
TRA	NSGA-II	GD	GD	C
TRA	PAES	GD	GD	C
TRA	SMPSO	C	GD	C
TRA	SPEA2	C	GD	C
TRA	CellDE	ND	GS	ED
TRA	MOCell	GS	GS	ED
TRA	NSGA-II	ED	GS	ED
TRA	PAES	GS	GS	ED
TRA	SMPSO	ND	GS	ED
TRA	SPEA2	ND	GS	ED
TRA	CellDE	GS	GS	PFS
TRA	MOCell	ND	GS	PFS
TRA	NSGA-II	PFS	GS	PFS
TRA	PAES	GS	GS	PFS
TRA	SMPSO	GS	GS	PFS
TRA	SPEA2	GS	GS	PFS
TRA	CellDE	GS	GS	C
TRA	MOCell	ND	GS	C
TRA	NSGA-II	C	GS	C
TRA	PAES	GS	GS	C
TRA	SMPSO	C	GS	C
TRA	SPEA2	C	GS	C
TRA	CellDE	ED	ED	PFS
TRA	MOCell	PFS	ED	PFS
TRA	NSGA-II	PFS	ED	PFS
TRA	PAES	ED	ED	PFS
TRA	SMPSO	ED	ED	PFS
TRA	SPEA2	ED	ED	PFS
TRA	CellDE	ED	ED	C
TRA	MOCell	C	ED	C
TRA	NSGA-II	ND	ED	C
TRA	PAES	ED	ED	C
TRA	SMPSO	C	ED	C
TRA	SPEA2	C	ED	C
TRA	CellDE	C	PFS	C
TRA	MOCell	ND	PFS	C
TRA	NSGA-II	PFS	PFS	C
TRA	PAES	ND	PFS	C
TRA	SMPSO	C	PFS	C
TRA	SPEA2	C	PFS	C
RP	CellDE	HV	HV	IGD
RP	MOCell	ND	HV	IGD
RP	NSGA-II	IGD	HV	IGD
RP	PAES	ND	HV	IGD
RP	SMPSO	ND	HV	IGD
RP	SPEA2	ND	HV	IGD
RP	CellDE	ND	HV	EP
RP	MOCell	ND	HV	EP
RP	NSGA-II	HV	HV	EP
RP	PAES	ND	HV	EP
RP	SMPSO	EP	HV	EP
RP	SPEA2	ND	HV	EP
RP	CellDE	HV	HV	GD
RP	MOCell	ND	HV	GD
RP	NSGA-II	GD	HV	GD
RP	PAES	GD	HV	GD
RP	SMPSO	HV	HV	GD
RP	SPEA2	GD	HV	GD
RP	CellDE	HV	HV	GS
RP	MOCell	ND	HV	GS
RP	NSGA-II	HV	HV	GS
RP	PAES	ND	HV	GS
RP	SMPSO	GS	HV	GS
RP	SPEA2	ND	HV	GS
RP	CellDE	HV	HV	ED
RP	MOCell	ND	HV	ED
RP	NSGA-II	ED	HV	ED
RP	PAES	ND	HV	ED
RP	SMPSO	ND	HV	ED
RP	SPEA2	ND	HV	ED
RP	CellDE	HV	HV	PFS
RP	MOCell	ND	HV	PFS
RP	NSGA-II	HV	HV	PFS
RP	PAES	PFS	HV	PFS
RP	SMPSO	HV	HV	PFS
RP	SPEA2	PFS	HV	PFS
RP	CellDE	HV	HV	C
RP	MOCell	ND	HV	C
RP	NSGA-II	HV	HV	C
RP	PAES	ND	HV	C
RP	SMPSO	ND	HV	C
RP	SPEA2	HV	HV	C
RP	CellDE	EP	IGD	EP
RP	MOCell	ND	IGD	EP
RP	NSGA-II	IGD	IGD	EP
RP	PAES	ND	IGD	EP
RP	SMPSO	EP	IGD	EP
RP	SPEA2	ND	IGD	EP
RP	CellDE	ND	IGD	GD
RP	MOCell	ND	IGD	GD
RP	NSGA-II	ND	IGD	GD
RP	PAES	GD	IGD	GD
RP	SMPSO	IGD	IGD	GD
RP	SPEA2	GD	IGD	GD
RP	CellDE	IGD	IGD	GS
RP	MOCell	ND	IGD	GS
RP	NSGA-II	IGD	IGD	GS
RP	PAES	ND	IGD	GS
RP	SMPSO	GS	IGD	GS
RP	SPEA2	ND	IGD	GS
RP	CellDE	ND	IGD	ED
RP	MOCell	ND	IGD	ED
RP	NSGA-II	ND	IGD	ED
RP	PAES	ND	IGD	ED
RP	SMPSO	ND	IGD	ED
RP	SPEA2	ND	IGD	ED
RP	CellDE	IGD	IGD	PFS
RP	MOCell	ND	IGD	PFS
RP	NSGA-II	IGD	IGD	PFS
RP	PAES	PFS	IGD	PFS
RP	SMPSO	IGD	IGD	PFS
RP	SPEA2	PFS	IGD	PFS
