QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	FirstSelPerc	SecondSelPerc
IGD	1	CELLDE_MOCELL	CELLDE	MOCELL	4	6	0.285714285714286	0.333333333333333
IGD	2	CELLDE_NSGA-II	CELLDE	NSGA-II	2	8	0.142857142857143	0.444444444444444
IGD	3	CELLDE_PAES	CELLDE	PAES	6	4	0.428571428571429	0.222222222222222
IGD	4	CELLDE_SMPSO	CELLDE	SMPSO	2	8	0.142857142857143	0.533333333333333
IGD	5	CELLDE_SPEA2	CELLDE	SPEA2	3	7	0.214285714285714	0.388888888888889
IGD	6	MOCELL_NSGA-II	MOCELL	NSGA-II	1	13	0.0555555555555556	0.722222222222222
IGD	7	MOCELL_PAES	MOCELL	PAES	8	5	0.444444444444444	0.277777777777778
IGD	8	MOCELL_SMPSO	MOCELL	SMPSO	4	6	0.222222222222222	0.4
IGD	9	MOCELL_SPEA2	MOCELL	SPEA2	1	13	0.0555555555555556	0.722222222222222
IGD	10	NSGA-II_PAES	NSGA-II	PAES	12	1	0.666666666666667	0.0555555555555556
IGD	11	NSGA-II_SMPSO	NSGA-II	SMPSO	10	1	0.555555555555556	0.0666666666666667
IGD	12	NSGA-II_SPEA2	NSGA-II	SPEA2	7	6	0.388888888888889	0.333333333333333
IGD	13	PAES_SMPSO	PAES	SMPSO	3	8	0.166666666666667	0.533333333333333
IGD	14	PAES_SPEA2	PAES	SPEA2	2	12	0.111111111111111	0.666666666666667
IGD	15	SMPSO_SPEA2	SMPSO	SPEA2	2	7	0.133333333333333	0.388888888888889
