Problem	QI	Algo	Alg1	Alg2
TP1	IGD	NSGA-II	CellDE	NSGA-II
TP1	EP	NSGA-II	CellDE	NSGA-II
TP1	GD	NSGA-II	CellDE	NSGA-II
TP1	GS	NSGA-II	CellDE	NSGA-II
TP1	ED	NSGA-II	CellDE	NSGA-II
TP1	PFS	NSGA-II	CellDE	NSGA-II
TP1	C	NSGA-II	CellDE	NSGA-II
TP1	HV	CellDE	CellDE	PAES
TP1	IGD	PAES	CellDE	PAES
TP1	EP	CellDE	CellDE	PAES
TP1	GD	PAES	CellDE	PAES
TP1	GS	CellDE	CellDE	PAES
TP1	ED	PAES	CellDE	PAES
TP1	PFS	PAES	CellDE	PAES
TP1	C	PAES	CellDE	PAES
TP1	HV	SMPSO	CellDE	SMPSO
TP1	IGD	SMPSO	CellDE	SMPSO
TP1	EP	SMPSO	CellDE	SMPSO
TP1	GD	SMPSO	CellDE	SMPSO
TP1	GS	SMPSO	CellDE	SMPSO
TP1	ED	SMPSO	CellDE	SMPSO
TP1	PFS	SMPSO	CellDE	SMPSO
TP1	C	ND	CellDE	SMPSO
TP1	HV	SPEA2	CellDE	SPEA2
TP1	IGD	SPEA2	CellDE	SPEA2
TP1	EP	SPEA2	CellDE	SPEA2
TP1	GD	SPEA2	CellDE	SPEA2
TP1	GS	SPEA2	CellDE	SPEA2
TP1	ED	SPEA2	CellDE	SPEA2
TP1	PFS	SPEA2	CellDE	SPEA2
TP1	C	SPEA2	CellDE	SPEA2
TP1	HV	NSGA-II	MOCell	NSGA-II
TP1	IGD	NSGA-II	MOCell	NSGA-II
TP1	EP	NSGA-II	MOCell	NSGA-II
TP1	GD	MOCell	MOCell	NSGA-II
TP1	GS	NSGA-II	MOCell	NSGA-II
TP1	ED	ND	MOCell	NSGA-II
TP1	PFS	ND	MOCell	NSGA-II
TP1	C	MOCell	MOCell	NSGA-II
TP1	HV	MOCell	MOCell	PAES
TP1	IGD	MOCell	MOCell	PAES
TP1	EP	MOCell	MOCell	PAES
TP1	GD	MOCell	MOCell	PAES
TP1	GS	MOCell	MOCell	PAES
TP1	ED	MOCell	MOCell	PAES
TP1	PFS	MOCell	MOCell	PAES
TP1	C	MOCell	MOCell	PAES
TP1	HV	SMPSO	MOCell	SMPSO
TP1	IGD	SMPSO	MOCell	SMPSO
TP1	EP	SMPSO	MOCell	SMPSO
TP1	GD	MOCell	MOCell	SMPSO
TP1	GS	SMPSO	MOCell	SMPSO
TP1	ED	MOCell	MOCell	SMPSO
TP1	PFS	ND	MOCell	SMPSO
TP1	C	MOCell	MOCell	SMPSO
TP1	HV	SPEA2	MOCell	SPEA2
TP1	IGD	SPEA2	MOCell	SPEA2
TP1	EP	SPEA2	MOCell	SPEA2
TP1	GD	ND	MOCell	SPEA2
TP1	GS	SPEA2	MOCell	SPEA2
TP1	ED	ND	MOCell	SPEA2
TP1	PFS	ND	MOCell	SPEA2
TP1	C	ND	MOCell	SPEA2
TP1	HV	NSGA-II	NSGA-II	PAES
TP1	IGD	NSGA-II	NSGA-II	PAES
TP1	EP	NSGA-II	NSGA-II	PAES
TP1	GD	NSGA-II	NSGA-II	PAES
TP1	GS	NSGA-II	NSGA-II	PAES
TP1	ED	NSGA-II	NSGA-II	PAES
TP1	PFS	NSGA-II	NSGA-II	PAES
TP1	C	ND	NSGA-II	PAES
TP1	HV	SMPSO	NSGA-II	SMPSO
TP1	IGD	NSGA-II	NSGA-II	SMPSO
TP1	EP	SMPSO	NSGA-II	SMPSO
TP1	GD	NSGA-II	NSGA-II	SMPSO
TP1	GS	SMPSO	NSGA-II	SMPSO
TP1	ED	NSGA-II	NSGA-II	SMPSO
TP1	PFS	ND	NSGA-II	SMPSO
TP1	C	NSGA-II	NSGA-II	SMPSO
TP1	HV	NSGA-II	NSGA-II	SPEA2
TP1	IGD	NSGA-II	NSGA-II	SPEA2
TP1	EP	NSGA-II	NSGA-II	SPEA2
TP1	GD	SPEA2	NSGA-II	SPEA2
TP1	GS	SPEA2	NSGA-II	SPEA2
TP1	ED	ND	NSGA-II	SPEA2
TP1	PFS	ND	NSGA-II	SPEA2
TP1	C	ND	NSGA-II	SPEA2
TP1	HV	SMPSO	PAES	SMPSO
TP1	IGD	SMPSO	PAES	SMPSO
TP1	EP	SMPSO	PAES	SMPSO
TP1	GD	PAES	PAES	SMPSO
TP1	GS	SMPSO	PAES	SMPSO
TP1	ED	PAES	PAES	SMPSO
TP1	PFS	SMPSO	PAES	SMPSO
TP1	C	PAES	PAES	SMPSO
TP1	HV	SPEA2	PAES	SPEA2
TP1	IGD	SPEA2	PAES	SPEA2
TP1	EP	SPEA2	PAES	SPEA2
TP1	GD	SPEA2	PAES	SPEA2
TP1	GS	SPEA2	PAES	SPEA2
TP1	ED	SPEA2	PAES	SPEA2
TP1	PFS	SPEA2	PAES	SPEA2
TP1	C	ND	PAES	SPEA2
TP1	HV	SMPSO	SMPSO	SPEA2
TP1	IGD	ND	SMPSO	SPEA2
TP1	EP	SMPSO	SMPSO	SPEA2
TP1	GD	SPEA2	SMPSO	SPEA2
TP1	GS	SMPSO	SMPSO	SPEA2
TP1	ED	SPEA2	SMPSO	SPEA2
TP1	PFS	ND	SMPSO	SPEA2
TP1	C	SPEA2	SMPSO	SPEA2
TP2_1	HV	MOCell	CellDE	MOCell
TP2_1	IGD	MOCell	CellDE	MOCell
TP2_1	EP	MOCell	CellDE	MOCell
TP2_1	GD	MOCell	CellDE	MOCell
TP2_1	GS	CellDE	CellDE	MOCell
TP2_1	ED	MOCell	CellDE	MOCell
TP2_1	PFS	CellDE	CellDE	MOCell
TP2_1	C	ND	CellDE	MOCell
TP2_1	HV	NSGA-II	CellDE	NSGA-II
TP2_1	IGD	NSGA-II	CellDE	NSGA-II
TP2_1	EP	NSGA-II	CellDE	NSGA-II
TP2_1	GD	NSGA-II	CellDE	NSGA-II
TP2_1	GS	NSGA-II	CellDE	NSGA-II
TP2_1	ED	NSGA-II	CellDE	NSGA-II
TP2_1	PFS	NSGA-II	CellDE	NSGA-II
TP2_1	C	ND	CellDE	NSGA-II
TP2_1	HV	PAES	CellDE	PAES
TP2_1	IGD	PAES	CellDE	PAES
TP2_1	EP	PAES	CellDE	PAES
TP2_1	GD	PAES	CellDE	PAES
TP2_1	GS	CellDE	CellDE	PAES
TP2_1	ED	PAES	CellDE	PAES
TP2_1	PFS	CellDE	CellDE	PAES
TP2_1	C	ND	CellDE	PAES
TP2_1	HV	SMPSO	CellDE	SMPSO
TP2_1	IGD	SMPSO	CellDE	SMPSO
TP2_1	EP	SMPSO	CellDE	SMPSO
TP2_1	GD	SMPSO	CellDE	SMPSO
TP2_1	GS	SMPSO	CellDE	SMPSO
TP2_1	ED	SMPSO	CellDE	SMPSO
TP2_1	PFS	SMPSO	CellDE	SMPSO
TP2_1	C	ND	CellDE	SMPSO
TP2_1	HV	SPEA2	CellDE	SPEA2
TP2_1	IGD	SPEA2	CellDE	SPEA2
TP2_1	EP	SPEA2	CellDE	SPEA2
TP2_1	GD	SPEA2	CellDE	SPEA2
TP2_1	GS	ND	CellDE	SPEA2
TP2_1	ED	SPEA2	CellDE	SPEA2
TP2_1	PFS	SPEA2	CellDE	SPEA2
TP2_1	C	SPEA2	CellDE	SPEA2
TP2_1	HV	NSGA-II	MOCell	NSGA-II
TP2_1	IGD	NSGA-II	MOCell	NSGA-II
TP2_1	EP	NSGA-II	MOCell	NSGA-II
TP2_1	GD	NSGA-II	MOCell	NSGA-II
TP2_1	GS	NSGA-II	MOCell	NSGA-II
TP2_1	ED	NSGA-II	MOCell	NSGA-II
TP2_1	PFS	NSGA-II	MOCell	NSGA-II
TP2_1	C	ND	MOCell	NSGA-II
TP2_1	HV	ND	MOCell	PAES
TP2_1	IGD	PAES	MOCell	PAES
TP2_1	EP	MOCell	MOCell	PAES
TP2_1	GD	PAES	MOCell	PAES
TP2_1	GS	MOCell	MOCell	PAES
TP2_1	ED	PAES	MOCell	PAES
TP2_1	PFS	PAES	MOCell	PAES
TP2_1	C	ND	MOCell	PAES
TP2_1	HV	SMPSO	MOCell	SMPSO
TP2_1	IGD	MOCell	MOCell	SMPSO
TP2_1	EP	ND	MOCell	SMPSO
TP2_1	GD	MOCell	MOCell	SMPSO
TP2_1	GS	SMPSO	MOCell	SMPSO
TP2_1	ED	MOCell	MOCell	SMPSO
TP2_1	PFS	SMPSO	MOCell	SMPSO
TP2_1	C	ND	MOCell	SMPSO
TP2_1	HV	SPEA2	MOCell	SPEA2
TP2_1	IGD	SPEA2	MOCell	SPEA2
TP2_1	EP	SPEA2	MOCell	SPEA2
TP2_1	GD	SPEA2	MOCell	SPEA2
TP2_1	GS	SPEA2	MOCell	SPEA2
TP2_1	ED	SPEA2	MOCell	SPEA2
TP2_1	PFS	SPEA2	MOCell	SPEA2
TP2_1	C	SPEA2	MOCell	SPEA2
TP2_1	HV	NSGA-II	NSGA-II	PAES
TP2_1	IGD	NSGA-II	NSGA-II	PAES
TP2_1	EP	NSGA-II	NSGA-II	PAES
TP2_1	GD	NSGA-II	NSGA-II	PAES
TP2_1	GS	NSGA-II	NSGA-II	PAES
TP2_1	ED	ND	NSGA-II	PAES
TP2_1	PFS	NSGA-II	NSGA-II	PAES
TP2_1	C	ND	NSGA-II	PAES
TP2_1	HV	NSGA-II	NSGA-II	SMPSO
TP2_1	IGD	NSGA-II	NSGA-II	SMPSO
TP2_1	EP	NSGA-II	NSGA-II	SMPSO
TP2_1	GD	NSGA-II	NSGA-II	SMPSO
TP2_1	GS	SMPSO	NSGA-II	SMPSO
TP2_1	ED	NSGA-II	NSGA-II	SMPSO
TP2_1	PFS	SMPSO	NSGA-II	SMPSO
TP2_1	C	ND	NSGA-II	SMPSO
TP2_1	HV	ND	NSGA-II	SPEA2
TP2_1	IGD	SPEA2	NSGA-II	SPEA2
TP2_1	EP	ND	NSGA-II	SPEA2
TP2_1	GD	SPEA2	NSGA-II	SPEA2
TP2_1	GS	NSGA-II	NSGA-II	SPEA2
TP2_1	ED	SPEA2	NSGA-II	SPEA2
TP2_1	PFS	NSGA-II	NSGA-II	SPEA2
TP2_1	C	ND	NSGA-II	SPEA2
TP2_1	HV	SMPSO	PAES	SMPSO
TP2_1	IGD	PAES	PAES	SMPSO
TP2_1	EP	SMPSO	PAES	SMPSO
TP2_1	GD	PAES	PAES	SMPSO
TP2_1	GS	SMPSO	PAES	SMPSO
TP2_1	ED	PAES	PAES	SMPSO
TP2_1	PFS	SMPSO	PAES	SMPSO
TP2_1	C	ND	PAES	SMPSO
TP2_1	HV	SPEA2	PAES	SPEA2
TP2_1	IGD	SPEA2	PAES	SPEA2
TP2_1	EP	SPEA2	PAES	SPEA2
TP2_1	GD	SPEA2	PAES	SPEA2
TP2_1	GS	SPEA2	PAES	SPEA2
TP2_1	ED	SPEA2	PAES	SPEA2
TP2_1	PFS	SPEA2	PAES	SPEA2
TP2_1	C	ND	PAES	SPEA2
TP2_1	HV	SPEA2	SMPSO	SPEA2
TP2_1	IGD	SPEA2	SMPSO	SPEA2
TP2_1	EP	SPEA2	SMPSO	SPEA2
TP2_1	GD	SPEA2	SMPSO	SPEA2
TP2_1	GS	SMPSO	SMPSO	SPEA2
TP2_1	ED	SPEA2	SMPSO	SPEA2
TP2_1	PFS	SMPSO	SMPSO	SPEA2
TP2_1	C	SPEA2	SMPSO	SPEA2
TP2_2	HV	CellDE	CellDE	MOCell
TP2_2	IGD	MOCell	CellDE	MOCell
TP2_2	EP	CellDE	CellDE	MOCell
TP2_2	GD	MOCell	CellDE	MOCell
TP2_2	GS	CellDE	CellDE	MOCell
TP2_2	ED	MOCell	CellDE	MOCell
TP2_2	PFS	MOCell	CellDE	MOCell
TP2_2	C	MOCell	CellDE	MOCell
TP2_2	HV	NSGA-II	CellDE	NSGA-II
TP2_2	IGD	NSGA-II	CellDE	NSGA-II
TP2_2	EP	NSGA-II	CellDE	NSGA-II
TP2_2	GD	NSGA-II	CellDE	NSGA-II
TP2_2	GS	NSGA-II	CellDE	NSGA-II
TP2_2	ED	NSGA-II	CellDE	NSGA-II
TP2_2	PFS	NSGA-II	CellDE	NSGA-II
TP2_2	C	NSGA-II	CellDE	NSGA-II
TP2_2	HV	CellDE	CellDE	PAES
TP2_2	IGD	PAES	CellDE	PAES
TP2_2	EP	CellDE	CellDE	PAES
TP2_2	GD	PAES	CellDE	PAES
TP2_2	GS	CellDE	CellDE	PAES
TP2_2	ED	PAES	CellDE	PAES
TP2_2	PFS	PAES	CellDE	PAES
TP2_2	C	PAES	CellDE	PAES
TP2_2	HV	SMPSO	CellDE	SMPSO
TP2_2	IGD	SMPSO	CellDE	SMPSO
TP2_2	EP	SMPSO	CellDE	SMPSO
TP2_2	GD	SMPSO	CellDE	SMPSO
TP2_2	GS	SMPSO	CellDE	SMPSO
TP2_2	ED	SMPSO	CellDE	SMPSO
TP2_2	PFS	SMPSO	CellDE	SMPSO
TP2_2	C	SMPSO	CellDE	SMPSO
TP2_2	HV	SPEA2	CellDE	SPEA2
TP2_2	IGD	SPEA2	CellDE	SPEA2
TP2_2	EP	SPEA2	CellDE	SPEA2
TP2_2	GD	SPEA2	CellDE	SPEA2
TP2_2	GS	SPEA2	CellDE	SPEA2
TP2_2	ED	SPEA2	CellDE	SPEA2
TP2_2	PFS	SPEA2	CellDE	SPEA2
TP2_2	C	SPEA2	CellDE	SPEA2
TP2_2	HV	NSGA-II	MOCell	NSGA-II
TP2_2	IGD	NSGA-II	MOCell	NSGA-II
TP2_2	EP	NSGA-II	MOCell	NSGA-II
TP2_2	GD	MOCell	MOCell	NSGA-II
TP2_2	GS	NSGA-II	MOCell	NSGA-II
TP2_2	ED	MOCell	MOCell	NSGA-II
TP2_2	PFS	NSGA-II	MOCell	NSGA-II
TP2_2	C	ND	MOCell	NSGA-II
TP2_2	HV	MOCell	MOCell	PAES
TP2_2	IGD	MOCell	MOCell	PAES
TP2_2	EP	MOCell	MOCell	PAES
TP2_2	GD	MOCell	MOCell	PAES
TP2_2	GS	MOCell	MOCell	PAES
TP2_2	ED	MOCell	MOCell	PAES
TP2_2	PFS	MOCell	MOCell	PAES
TP2_2	C	ND	MOCell	PAES
TP2_2	HV	SMPSO	MOCell	SMPSO
TP2_2	IGD	SMPSO	MOCell	SMPSO
TP2_2	EP	SMPSO	MOCell	SMPSO
TP2_2	GD	MOCell	MOCell	SMPSO
TP2_2	GS	SMPSO	MOCell	SMPSO
TP2_2	ED	MOCell	MOCell	SMPSO
TP2_2	PFS	SMPSO	MOCell	SMPSO
TP2_2	C	MOCell	MOCell	SMPSO
TP2_2	HV	SPEA2	MOCell	SPEA2
TP2_2	IGD	SPEA2	MOCell	SPEA2
TP2_2	EP	SPEA2	MOCell	SPEA2
TP2_2	GD	MOCell	MOCell	SPEA2
TP2_2	GS	SPEA2	MOCell	SPEA2
TP2_2	ED	MOCell	MOCell	SPEA2
TP2_2	PFS	SPEA2	MOCell	SPEA2
TP2_2	C	MOCell	MOCell	SPEA2
TP2_2	HV	NSGA-II	NSGA-II	PAES
TP2_2	IGD	NSGA-II	NSGA-II	PAES
TP2_2	EP	NSGA-II	NSGA-II	PAES
TP2_2	GD	ND	NSGA-II	PAES
TP2_2	GS	NSGA-II	NSGA-II	PAES
TP2_2	ED	PAES	NSGA-II	PAES
TP2_2	PFS	NSGA-II	NSGA-II	PAES
TP2_2	C	ND	NSGA-II	PAES
TP2_2	HV	SMPSO	NSGA-II	SMPSO
TP2_2	IGD	NSGA-II	NSGA-II	SMPSO
TP2_2	EP	SMPSO	NSGA-II	SMPSO
TP2_2	GD	NSGA-II	NSGA-II	SMPSO
TP2_2	GS	SMPSO	NSGA-II	SMPSO
TP2_2	ED	NSGA-II	NSGA-II	SMPSO
TP2_2	PFS	ND	NSGA-II	SMPSO
TP2_2	C	ND	NSGA-II	SMPSO
TP2_2	HV	NSGA-II	NSGA-II	SPEA2
TP2_2	IGD	NSGA-II	NSGA-II	SPEA2
TP2_2	EP	NSGA-II	NSGA-II	SPEA2
TP2_2	GD	SPEA2	NSGA-II	SPEA2
TP2_2	GS	NSGA-II	NSGA-II	SPEA2
TP2_2	ED	ND	NSGA-II	SPEA2
TP2_2	PFS	ND	NSGA-II	SPEA2
TP2_2	C	ND	NSGA-II	SPEA2
TP2_2	HV	SMPSO	PAES	SMPSO
TP2_2	IGD	SMPSO	PAES	SMPSO
TP2_2	EP	SMPSO	PAES	SMPSO
TP2_2	GD	PAES	PAES	SMPSO
TP2_2	GS	SMPSO	PAES	SMPSO
TP2_2	ED	PAES	PAES	SMPSO
TP2_2	PFS	SMPSO	PAES	SMPSO
TP2_2	C	ND	PAES	SMPSO
TP2_2	HV	SPEA2	PAES	SPEA2
TP2_2	IGD	SPEA2	PAES	SPEA2
TP2_2	EP	SPEA2	PAES	SPEA2
TP2_2	GD	SPEA2	PAES	SPEA2
TP2_2	GS	SPEA2	PAES	SPEA2
TP2_2	ED	PAES	PAES	SPEA2
TP2_2	PFS	SPEA2	PAES	SPEA2
TP2_2	C	ND	PAES	SPEA2
TP2_2	HV	SMPSO	SMPSO	SPEA2
TP2_2	IGD	ND	SMPSO	SPEA2
TP2_2	EP	SMPSO	SMPSO	SPEA2
TP2_2	GD	SPEA2	SMPSO	SPEA2
TP2_2	GS	SMPSO	SMPSO	SPEA2
TP2_2	ED	SPEA2	SMPSO	SPEA2
TP2_2	PFS	ND	SMPSO	SPEA2
TP2_2	C	ND	SMPSO	SPEA2
TP2_3	HV	CellDE	CellDE	MOCell
TP2_3	IGD	CellDE	CellDE	MOCell
TP2_3	EP	CellDE	CellDE	MOCell
TP2_3	GD	CellDE	CellDE	MOCell
TP2_3	GS	CellDE	CellDE	MOCell
TP2_3	ED	CellDE	CellDE	MOCell
TP2_3	PFS	CellDE	CellDE	MOCell
TP2_3	C	CellDE	CellDE	MOCell
TP2_3	HV	CellDE	CellDE	NSGA-II
TP2_3	IGD	CellDE	CellDE	NSGA-II
TP2_3	EP	CellDE	CellDE	NSGA-II
TP2_3	GD	NSGA-II	CellDE	NSGA-II
TP2_3	GS	CellDE	CellDE	NSGA-II
TP2_3	ED	CellDE	CellDE	NSGA-II
TP2_3	PFS	CellDE	CellDE	NSGA-II
TP2_3	C	CellDE	CellDE	NSGA-II
TP2_3	HV	CellDE	CellDE	PAES
TP2_3	IGD	CellDE	CellDE	PAES
TP2_3	EP	CellDE	CellDE	PAES
TP2_3	GD	CellDE	CellDE	PAES
TP2_3	GS	CellDE	CellDE	PAES
TP2_3	ED	CellDE	CellDE	PAES
TP2_3	PFS	CellDE	CellDE	PAES
TP2_3	C	CellDE	CellDE	PAES
TP2_3	HV	CellDE	CellDE	SMPSO
TP2_3	IGD	CellDE	CellDE	SMPSO
TP2_3	EP	CellDE	CellDE	SMPSO
TP2_3	GD	CellDE	CellDE	SMPSO
TP2_3	GS	CellDE	CellDE	SMPSO
TP2_3	ED	CellDE	CellDE	SMPSO
TP2_3	PFS	SMPSO	CellDE	SMPSO
TP2_3	C	CellDE	CellDE	SMPSO
TP2_3	HV	CellDE	CellDE	SPEA2
TP2_3	IGD	CellDE	CellDE	SPEA2
TP2_3	EP	CellDE	CellDE	SPEA2
TP2_3	GD	SPEA2	CellDE	SPEA2
TP2_3	GS	CellDE	CellDE	SPEA2
TP2_3	ED	ND	CellDE	SPEA2
TP2_3	PFS	CellDE	CellDE	SPEA2
TP2_3	C	CellDE	CellDE	SPEA2
TP2_3	HV	NSGA-II	MOCell	NSGA-II
TP2_3	IGD	NSGA-II	MOCell	NSGA-II
TP2_3	EP	NSGA-II	MOCell	NSGA-II
TP2_3	GD	NSGA-II	MOCell	NSGA-II
TP2_3	GS	NSGA-II	MOCell	NSGA-II
TP2_3	ED	NSGA-II	MOCell	NSGA-II
TP2_3	PFS	NSGA-II	MOCell	NSGA-II
TP2_3	C	ND	MOCell	NSGA-II
TP2_3	HV	MOCell	MOCell	PAES
TP2_3	IGD	MOCell	MOCell	PAES
TP2_3	EP	MOCell	MOCell	PAES
TP2_3	GD	MOCell	MOCell	PAES
TP2_3	GS	MOCell	MOCell	PAES
TP2_3	ED	MOCell	MOCell	PAES
TP2_3	PFS	PAES	MOCell	PAES
TP2_3	C	ND	MOCell	PAES
TP2_3	HV	SMPSO	MOCell	SMPSO
TP2_3	IGD	SMPSO	MOCell	SMPSO
TP2_3	EP	SMPSO	MOCell	SMPSO
TP2_3	GD	SMPSO	MOCell	SMPSO
TP2_3	GS	SMPSO	MOCell	SMPSO
TP2_3	ED	SMPSO	MOCell	SMPSO
TP2_3	PFS	SMPSO	MOCell	SMPSO
TP2_3	C	ND	MOCell	SMPSO
TP2_3	HV	SPEA2	MOCell	SPEA2
TP2_3	IGD	SPEA2	MOCell	SPEA2
TP2_3	EP	SPEA2	MOCell	SPEA2
TP2_3	GD	SPEA2	MOCell	SPEA2
TP2_3	GS	SPEA2	MOCell	SPEA2
TP2_3	ED	SPEA2	MOCell	SPEA2
TP2_3	PFS	SPEA2	MOCell	SPEA2
TP2_3	C	ND	MOCell	SPEA2
TP2_3	HV	NSGA-II	NSGA-II	PAES
TP2_3	IGD	NSGA-II	NSGA-II	PAES
TP2_3	EP	NSGA-II	NSGA-II	PAES
TP2_3	GD	NSGA-II	NSGA-II	PAES
TP2_3	GS	NSGA-II	NSGA-II	PAES
TP2_3	ED	NSGA-II	NSGA-II	PAES
TP2_3	PFS	NSGA-II	NSGA-II	PAES
TP2_3	C	ND	NSGA-II	PAES
TP2_3	HV	NSGA-II	NSGA-II	SMPSO
TP2_3	IGD	NSGA-II	NSGA-II	SMPSO
TP2_3	EP	NSGA-II	NSGA-II	SMPSO
TP2_3	GD	NSGA-II	NSGA-II	SMPSO
TP2_3	GS	SMPSO	NSGA-II	SMPSO
TP2_3	ED	NSGA-II	NSGA-II	SMPSO
TP2_3	PFS	SMPSO	NSGA-II	SMPSO
TP2_3	C	ND	NSGA-II	SMPSO
TP2_3	HV	SPEA2	NSGA-II	SPEA2
TP2_3	IGD	SPEA2	NSGA-II	SPEA2
TP2_3	EP	SPEA2	NSGA-II	SPEA2
TP2_3	GD	ND	NSGA-II	SPEA2
TP2_3	GS	NSGA-II	NSGA-II	SPEA2
TP2_3	ED	SPEA2	NSGA-II	SPEA2
TP2_3	PFS	NSGA-II	NSGA-II	SPEA2
TP2_3	C	ND	NSGA-II	SPEA2
TP2_3	HV	SMPSO	PAES	SMPSO
TP2_3	IGD	SMPSO	PAES	SMPSO
TP2_3	EP	SMPSO	PAES	SMPSO
TP2_3	GD	SMPSO	PAES	SMPSO
TP2_3	GS	SMPSO	PAES	SMPSO
TP2_3	ED	SMPSO	PAES	SMPSO
TP2_3	PFS	SMPSO	PAES	SMPSO
TP2_3	C	ND	PAES	SMPSO
TP2_3	HV	SPEA2	PAES	SPEA2
TP2_3	IGD	SPEA2	PAES	SPEA2
TP2_3	EP	SPEA2	PAES	SPEA2
TP2_3	GD	SPEA2	PAES	SPEA2
TP2_3	GS	SPEA2	PAES	SPEA2
TP2_3	ED	SPEA2	PAES	SPEA2
TP2_3	PFS	SPEA2	PAES	SPEA2
TP2_3	C	ND	PAES	SPEA2
TP2_3	HV	ND	SMPSO	SPEA2
TP2_3	IGD	SPEA2	SMPSO	SPEA2
TP2_3	EP	SPEA2	SMPSO	SPEA2
TP2_3	GD	SPEA2	SMPSO	SPEA2
TP2_3	GS	SMPSO	SMPSO	SPEA2
TP2_3	ED	SPEA2	SMPSO	SPEA2
TP2_3	PFS	SMPSO	SMPSO	SPEA2
TP2_3	C	ND	SMPSO	SPEA2
RM	HV	MOCell	MOCell	NSGA-II
RM	IGD	MOCell	MOCell	NSGA-II
RM	EP	MOCell	MOCell	NSGA-II
RM	GD	NSGA-II	MOCell	NSGA-II
RM	GS	MOCell	MOCell	NSGA-II
RM	ED	ND	MOCell	NSGA-II
RM	PFS	ND	MOCell	NSGA-II
RM	C	ND	MOCell	NSGA-II
RM	HV	MOCell	MOCell	PAES
RM	IGD	MOCell	MOCell	PAES
RM	EP	MOCell	MOCell	PAES
RM	GD	MOCell	MOCell	PAES
RM	GS	MOCell	MOCell	PAES
RM	ED	ND	MOCell	PAES
RM	PFS	MOCell	MOCell	PAES
RM	C	MOCell	MOCell	PAES
RM	HV	MOCell	MOCell	SMPSO
RM	IGD	MOCell	MOCell	SMPSO
RM	EP	MOCell	MOCell	SMPSO
RM	GD	MOCell	MOCell	SMPSO
RM	GS	MOCell	MOCell	SMPSO
RM	ED	MOCell	MOCell	SMPSO
RM	PFS	MOCell	MOCell	SMPSO
RM	C	MOCell	MOCell	SMPSO
RM	HV	SPEA2	MOCell	SPEA2
RM	IGD	SPEA2	MOCell	SPEA2
RM	EP	SPEA2	MOCell	SPEA2
RM	GD	SPEA2	MOCell	SPEA2
RM	GS	SPEA2	MOCell	SPEA2
RM	ED	ND	MOCell	SPEA2
RM	PFS	ND	MOCell	SPEA2
RM	C	SPEA2	MOCell	SPEA2
RM	HV	NSGA-II	NSGA-II	PAES
RM	IGD	NSGA-II	NSGA-II	PAES
RM	EP	NSGA-II	NSGA-II	PAES
RM	GD	NSGA-II	NSGA-II	PAES
RM	GS	NSGA-II	NSGA-II	PAES
RM	ED	ND	NSGA-II	PAES
RM	PFS	NSGA-II	NSGA-II	PAES
RM	C	NSGA-II	NSGA-II	PAES
RM	HV	NSGA-II	NSGA-II	SMPSO
RM	IGD	NSGA-II	NSGA-II	SMPSO
RM	EP	NSGA-II	NSGA-II	SMPSO
RM	GD	NSGA-II	NSGA-II	SMPSO
RM	GS	NSGA-II	NSGA-II	SMPSO
RM	ED	NSGA-II	NSGA-II	SMPSO
RM	PFS	NSGA-II	NSGA-II	SMPSO
RM	C	NSGA-II	NSGA-II	SMPSO
RM	HV	SPEA2	NSGA-II	SPEA2
RM	IGD	SPEA2	NSGA-II	SPEA2
RM	EP	SPEA2	NSGA-II	SPEA2
RM	GD	SPEA2	NSGA-II	SPEA2
RM	GS	SPEA2	NSGA-II	SPEA2
RM	ED	ND	NSGA-II	SPEA2
RM	PFS	ND	NSGA-II	SPEA2
RM	C	SPEA2	NSGA-II	SPEA2
RM	HV	PAES	PAES	SMPSO
RM	IGD	PAES	PAES	SMPSO
RM	EP	SMPSO	PAES	SMPSO
RM	GD	PAES	PAES	SMPSO
RM	GS	SMPSO	PAES	SMPSO
RM	ED	PAES	PAES	SMPSO
RM	PFS	ND	PAES	SMPSO
RM	C	PAES	PAES	SMPSO
RM	HV	SPEA2	PAES	SPEA2
RM	IGD	SPEA2	PAES	SPEA2
RM	EP	SPEA2	PAES	SPEA2
RM	GD	SPEA2	PAES	SPEA2
RM	GS	SPEA2	PAES	SPEA2
RM	ED	ND	PAES	SPEA2
RM	PFS	SPEA2	PAES	SPEA2
RM	C	SPEA2	PAES	SPEA2
RM	HV	SPEA2	SMPSO	SPEA2
RM	IGD	SPEA2	SMPSO	SPEA2
RM	EP	SPEA2	SMPSO	SPEA2
RM	GD	SPEA2	SMPSO	SPEA2
RM	GS	SPEA2	SMPSO	SPEA2
RM	ED	SPEA2	SMPSO	SPEA2
RM	PFS	SPEA2	SMPSO	SPEA2
RM	C	SPEA2	SMPSO	SPEA2
ITO	HV	CellDE	CellDE	MOCell
ITO	IGD	CellDE	CellDE	MOCell
ITO	EP	CellDE	CellDE	MOCell
ITO	GD	CellDE	CellDE	MOCell
ITO	GS	ND	CellDE	MOCell
ITO	ED	CellDE	CellDE	MOCell
ITO	PFS	ND	CellDE	MOCell
ITO	C	ND	CellDE	MOCell
ITO	HV	NSGA-II	CellDE	NSGA-II
ITO	IGD	NSGA-II	CellDE	NSGA-II
ITO	EP	NSGA-II	CellDE	NSGA-II
ITO	GD	NSGA-II	CellDE	NSGA-II
ITO	GS	NSGA-II	CellDE	NSGA-II
