Problem	QI	Algo	Alg1	Alg2
TS	ED	CellDE	CellDE	PAES
TS	PFS	ND	CellDE	PAES
TS	C	ND	CellDE	PAES
TS	HV	SMPSO	CellDE	SMPSO
TS	IGD	SMPSO	CellDE	SMPSO
TS	EP	SMPSO	CellDE	SMPSO
TS	GD	SMPSO	CellDE	SMPSO
TS	GS	CellDE	CellDE	SMPSO
TS	ED	SMPSO	CellDE	SMPSO
TS	PFS	CellDE	CellDE	SMPSO
TS	C	ND	CellDE	SMPSO
TS	HV	SPEA2	CellDE	SPEA2
TS	IGD	SPEA2	CellDE	SPEA2
TS	EP	SPEA2	CellDE	SPEA2
TS	GD	SPEA2	CellDE	SPEA2
TS	GS	SPEA2	CellDE	SPEA2
TS	ED	SPEA2	CellDE	SPEA2
TS	PFS	SPEA2	CellDE	SPEA2
TS	C	SPEA2	CellDE	SPEA2
TS	HV	NSGA-II	MOCell	NSGA-II
TS	IGD	NSGA-II	MOCell	NSGA-II
TS	EP	NSGA-II	MOCell	NSGA-II
TS	GD	NSGA-II	MOCell	NSGA-II
TS	GS	NSGA-II	MOCell	NSGA-II
TS	ED	NSGA-II	MOCell	NSGA-II
TS	PFS	ND	MOCell	NSGA-II
TS	C	ND	MOCell	NSGA-II
TS	HV	MOCell	MOCell	PAES
TS	IGD	MOCell	MOCell	PAES
TS	EP	MOCell	MOCell	PAES
TS	GD	MOCell	MOCell	PAES
TS	GS	MOCell	MOCell	PAES
TS	ED	MOCell	MOCell	PAES
TS	PFS	ND	MOCell	PAES
TS	C	ND	MOCell	PAES
TS	HV	ND	MOCell	SMPSO
TS	IGD	MOCell	MOCell	SMPSO
TS	EP	SMPSO	MOCell	SMPSO
TS	GD	MOCell	MOCell	SMPSO
TS	GS	SMPSO	MOCell	SMPSO
TS	ED	MOCell	MOCell	SMPSO
TS	PFS	MOCell	MOCell	SMPSO
TS	C	ND	MOCell	SMPSO
TS	HV	ND	MOCell	SPEA2
TS	IGD	SPEA2	MOCell	SPEA2
TS	EP	SPEA2	MOCell	SPEA2
TS	GD	SPEA2	MOCell	SPEA2
TS	GS	SPEA2	MOCell	SPEA2
TS	ED	SPEA2	MOCell	SPEA2
TS	PFS	ND	MOCell	SPEA2
TS	C	ND	MOCell	SPEA2
TS	HV	NSGA-II	NSGA-II	PAES
TS	IGD	NSGA-II	NSGA-II	PAES
TS	EP	NSGA-II	NSGA-II	PAES
TS	GD	NSGA-II	NSGA-II	PAES
TS	GS	NSGA-II	NSGA-II	PAES
TS	ED	NSGA-II	NSGA-II	PAES
TS	PFS	NSGA-II	NSGA-II	PAES
TS	C	NSGA-II	NSGA-II	PAES
TS	HV	NSGA-II	NSGA-II	SMPSO
TS	IGD	NSGA-II	NSGA-II	SMPSO
TS	EP	NSGA-II	NSGA-II	SMPSO
TS	GD	NSGA-II	NSGA-II	SMPSO
TS	GS	SMPSO	NSGA-II	SMPSO
TS	ED	NSGA-II	NSGA-II	SMPSO
TS	PFS	NSGA-II	NSGA-II	SMPSO
TS	C	ND	NSGA-II	SMPSO
TS	HV	NSGA-II	NSGA-II	SPEA2
TS	IGD	SPEA2	NSGA-II	SPEA2
TS	EP	NSGA-II	NSGA-II	SPEA2
TS	GD	SPEA2	NSGA-II	SPEA2
TS	GS	SPEA2	NSGA-II	SPEA2
TS	ED	SPEA2	NSGA-II	SPEA2
TS	PFS	ND	NSGA-II	SPEA2
TS	C	ND	NSGA-II	SPEA2
TS	HV	SMPSO	PAES	SMPSO
TS	IGD	SMPSO	PAES	SMPSO
TS	EP	SMPSO	PAES	SMPSO
TS	GD	SMPSO	PAES	SMPSO
TS	GS	SMPSO	PAES	SMPSO
TS	ED	SMPSO	PAES	SMPSO
TS	PFS	PAES	PAES	SMPSO
TS	C	ND	PAES	SMPSO
TS	HV	SPEA2	PAES	SPEA2
TS	IGD	SPEA2	PAES	SPEA2
TS	EP	SPEA2	PAES	SPEA2
TS	GD	SPEA2	PAES	SPEA2
TS	GS	SPEA2	PAES	SPEA2
TS	ED	SPEA2	PAES	SPEA2
TS	PFS	SPEA2	PAES	SPEA2
TS	C	SPEA2	PAES	SPEA2
TS	HV	SPEA2	SMPSO	SPEA2
TS	IGD	SPEA2	SMPSO	SPEA2
TS	EP	SMPSO	SMPSO	SPEA2
TS	GD	SPEA2	SMPSO	SPEA2
TS	GS	SPEA2	SMPSO	SPEA2
TS	ED	SPEA2	SMPSO	SPEA2
TS	PFS	SPEA2	SMPSO	SPEA2
TS	C	ND	SMPSO	SPEA2
TRA	HV	CellDE	CellDE	MOCell
TRA	IGD	CellDE	CellDE	MOCell
TRA	EP	CellDE	CellDE	MOCell
TRA	GD	CellDE	CellDE	MOCell
TRA	GS	CellDE	CellDE	MOCell
TRA	ED	CellDE	CellDE	MOCell
TRA	PFS	CellDE	CellDE	MOCell
TRA	C	CellDE	CellDE	MOCell
TRA	HV	CellDE	CellDE	NSGA-II
TRA	IGD	CellDE	CellDE	NSGA-II
TRA	EP	CellDE	CellDE	NSGA-II
TRA	GD	CellDE	CellDE	NSGA-II
TRA	GS	CellDE	CellDE	NSGA-II
TRA	ED	CellDE	CellDE	NSGA-II
TRA	PFS	ND	CellDE	NSGA-II
TRA	C	CellDE	CellDE	NSGA-II
TRA	HV	CellDE	CellDE	PAES
TRA	IGD	CellDE	CellDE	PAES
TRA	EP	CellDE	CellDE	PAES
TRA	GD	CellDE	CellDE	PAES
TRA	GS	CellDE	CellDE	PAES
TRA	ED	CellDE	CellDE	PAES
TRA	PFS	CellDE	CellDE	PAES
TRA	C	CellDE	CellDE	PAES
TRA	HV	SMPSO	CellDE	SMPSO
TRA	IGD	SMPSO	CellDE	SMPSO
TRA	EP	SMPSO	CellDE	SMPSO
TRA	GD	CellDE	CellDE	SMPSO
TRA	GS	CellDE	CellDE	SMPSO
TRA	ED	CellDE	CellDE	SMPSO
TRA	PFS	ND	CellDE	SMPSO
TRA	C	SMPSO	CellDE	SMPSO
TRA	HV	CellDE	CellDE	SPEA2
TRA	IGD	CellDE	CellDE	SPEA2
TRA	EP	CellDE	CellDE	SPEA2
TRA	GD	CellDE	CellDE	SPEA2
TRA	GS	CellDE	CellDE	SPEA2
TRA	ED	CellDE	CellDE	SPEA2
TRA	PFS	ND	CellDE	SPEA2
TRA	C	SPEA2	CellDE	SPEA2
TRA	HV	NSGA-II	MOCell	NSGA-II
TRA	IGD	NSGA-II	MOCell	NSGA-II
TRA	EP	NSGA-II	MOCell	NSGA-II
TRA	GD	NSGA-II	MOCell	NSGA-II
TRA	GS	MOCell	MOCell	NSGA-II
TRA	ED	NSGA-II	MOCell	NSGA-II
TRA	PFS	NSGA-II	MOCell	NSGA-II
TRA	C	ND	MOCell	NSGA-II
TRA	HV	ND	MOCell	PAES
TRA	IGD	PAES	MOCell	PAES
TRA	EP	ND	MOCell	PAES
TRA	GD	MOCell	MOCell	PAES
TRA	GS	PAES	MOCell	PAES
TRA	ED	PAES	MOCell	PAES
TRA	PFS	MOCell	MOCell	PAES
TRA	C	MOCell	MOCell	PAES
TRA	HV	SMPSO	MOCell	SMPSO
TRA	IGD	SMPSO	MOCell	SMPSO
TRA	EP	SMPSO	MOCell	SMPSO
TRA	GD	SMPSO	MOCell	SMPSO
TRA	GS	SMPSO	MOCell	SMPSO
TRA	ED	SMPSO	MOCell	SMPSO
TRA	PFS	SMPSO	MOCell	SMPSO
TRA	C	SMPSO	MOCell	SMPSO
TRA	HV	SPEA2	MOCell	SPEA2
TRA	IGD	SPEA2	MOCell	SPEA2
TRA	EP	SPEA2	MOCell	SPEA2
TRA	GD	MOCell	MOCell	SPEA2
TRA	GS	SPEA2	MOCell	SPEA2
TRA	ED	SPEA2	MOCell	SPEA2
TRA	PFS	SPEA2	MOCell	SPEA2
TRA	C	SPEA2	MOCell	SPEA2
TRA	HV	NSGA-II	NSGA-II	PAES
TRA	IGD	ND	NSGA-II	PAES
TRA	EP	NSGA-II	NSGA-II	PAES
TRA	GD	NSGA-II	NSGA-II	PAES
TRA	GS	PAES	NSGA-II	PAES
TRA	ED	ND	NSGA-II	PAES
TRA	PFS	NSGA-II	NSGA-II	PAES
TRA	C	NSGA-II	NSGA-II	PAES
TRA	HV	SMPSO	NSGA-II	SMPSO
TRA	IGD	SMPSO	NSGA-II	SMPSO
TRA	EP	SMPSO	NSGA-II	SMPSO
TRA	GD	SMPSO	NSGA-II	SMPSO
TRA	GS	SMPSO	NSGA-II	SMPSO
TRA	ED	SMPSO	NSGA-II	SMPSO
TRA	PFS	ND	NSGA-II	SMPSO
TRA	C	SMPSO	NSGA-II	SMPSO
TRA	HV	SPEA2	NSGA-II	SPEA2
TRA	IGD	SPEA2	NSGA-II	SPEA2
TRA	EP	SPEA2	NSGA-II	SPEA2
TRA	GD	NSGA-II	NSGA-II	SPEA2
TRA	GS	SPEA2	NSGA-II	SPEA2
TRA	ED	SPEA2	NSGA-II	SPEA2
TRA	PFS	ND	NSGA-II	SPEA2
TRA	C	SPEA2	NSGA-II	SPEA2
TRA	HV	SMPSO	PAES	SMPSO
TRA	IGD	SMPSO	PAES	SMPSO
TRA	EP	SMPSO	PAES	SMPSO
TRA	GD	SMPSO	PAES	SMPSO
TRA	GS	SMPSO	PAES	SMPSO
TRA	ED	SMPSO	PAES	SMPSO
TRA	PFS	SMPSO	PAES	SMPSO
TRA	C	SMPSO	PAES	SMPSO
TRA	HV	SPEA2	PAES	SPEA2
TRA	IGD	SPEA2	PAES	SPEA2
TRA	EP	SPEA2	PAES	SPEA2
TRA	GD	PAES	PAES	SPEA2
TRA	GS	SPEA2	PAES	SPEA2
TRA	ED	SPEA2	PAES	SPEA2
TRA	PFS	SPEA2	PAES	SPEA2
TRA	C	SPEA2	PAES	SPEA2
TRA	HV	SMPSO	SMPSO	SPEA2
TRA	IGD	SMPSO	SMPSO	SPEA2
TRA	EP	SMPSO	SMPSO	SPEA2
TRA	GD	SMPSO	SMPSO	SPEA2
TRA	GS	SMPSO	SMPSO	SPEA2
TRA	ED	SMPSO	SMPSO	SPEA2
TRA	PFS	ND	SMPSO	SPEA2
TRA	C	SMPSO	SMPSO	SPEA2
RP	HV	CellDE	CellDE	MOCell
RP	IGD	CellDE	CellDE	MOCell
RP	EP	CellDE	CellDE	MOCell
RP	GD	CellDE	CellDE	MOCell
RP	GS	CellDE	CellDE	MOCell
RP	ED	CellDE	CellDE	MOCell
RP	PFS	CellDE	CellDE	MOCell
RP	C	CellDE	CellDE	MOCell
RP	HV	CellDE	CellDE	NSGA-II
RP	IGD	NSGA-II	CellDE	NSGA-II
RP	EP	CellDE	CellDE	NSGA-II
RP	GD	NSGA-II	CellDE	NSGA-II
RP	GS	ND	CellDE	NSGA-II
RP	ED	NSGA-II	CellDE	NSGA-II
RP	PFS	NSGA-II	CellDE	NSGA-II
RP	C	ND	CellDE	NSGA-II
RP	HV	CellDE	CellDE	PAES
RP	IGD	CellDE	CellDE	PAES
RP	EP	CellDE	CellDE	PAES
RP	GD	CellDE	CellDE	PAES
RP	GS	CellDE	CellDE	PAES
RP	ED	CellDE	CellDE	PAES
RP	PFS	PAES	CellDE	PAES
RP	C	CellDE	CellDE	PAES
RP	HV	CellDE	CellDE	SMPSO
RP	IGD	CellDE	CellDE	SMPSO
RP	EP	CellDE	CellDE	SMPSO
RP	GD	CellDE	CellDE	SMPSO
RP	GS	SMPSO	CellDE	SMPSO
RP	ED	CellDE	CellDE	SMPSO
RP	PFS	CellDE	CellDE	SMPSO
RP	C	ND	CellDE	SMPSO
RP	HV	CellDE	CellDE	SPEA2
RP	IGD	CellDE	CellDE	SPEA2
RP	EP	CellDE	CellDE	SPEA2
RP	GD	CellDE	CellDE	SPEA2
RP	GS	CellDE	CellDE	SPEA2
RP	ED	CellDE	CellDE	SPEA2
RP	PFS	SPEA2	CellDE	SPEA2
RP	C	CellDE	CellDE	SPEA2
RP	HV	NSGA-II	MOCell	NSGA-II
RP	IGD	NSGA-II	MOCell	NSGA-II
RP	EP	NSGA-II	MOCell	NSGA-II
RP	GD	NSGA-II	MOCell	NSGA-II
RP	GS	NSGA-II	MOCell	NSGA-II
RP	ED	NSGA-II	MOCell	NSGA-II
RP	PFS	NSGA-II	MOCell	NSGA-II
RP	C	NSGA-II	MOCell	NSGA-II
RP	HV	ND	MOCell	PAES
RP	IGD	ND	MOCell	PAES
RP	EP	ND	MOCell	PAES
RP	GD	PAES	MOCell	PAES
RP	GS	ND	MOCell	PAES
RP	ED	ND	MOCell	PAES
RP	PFS	PAES	MOCell	PAES
RP	C	ND	MOCell	PAES
