NameOfProblem	Percentage	PercentageII
RA	0.6	60
TS	0.4	40
TRA	0	0
RP	0	0
TM	0.4	40
TP1	0.4	40
TP2_1	0.2	20
TP2_2	0.2	20
TP2_3	0.2	20
RM	0.75	75
ITO	0.2	20
UT1	0.2	20
UT2	0	0
UT3	0.2	20
UT4	0	0
RALIC	0.666666666666667	66.6666666666667
WORD	0.333333333333333	33.3333333333333
NRL	0.333333333333333	33.3333333333333
