NameOfProblem	Percentage	PercentageII
RA	0.0666666666666667	6.66666666666667
TS	0.4	40
TRA	0.4	40
RP	0.2	20
TM	0.2	20
TP1	0.4	40
TP2_1	0	0
TP2_2	0.2	20
TP2_3	0	0
RM	0.4	40
ITO	0.2	20
UT1	0.4	40
UT2	0.4	40
UT3	0.266666666666667	26.6666666666667
UT4	0.4	40
RALIC	0.166666666666667	16.6666666666667
WORD	1	100
NRL	0.5	50
