NameOfProblem	Percentage	PercentageII
RA	0	0
TS	0.2	20
TRA	0.2	20
RP	0	0
TM	0.2	20
TP1	0.4	40
TP2_1	0.2	20
TP2_2	0.2	20
TP2_3	0.2	20
RM	0.75	75
ITO	0.2	20
UT1	0	0
UT2	0.6	60
UT3	0	0
UT4	0.4	40
RALIC	0.333333333333333	33.3333333333333
WORD	0.333333333333333	33.3333333333333
NRL	0.333333333333333	33.3333333333333
